adnumber	category	image	copy
216673	100		"   	<B>composting</B> 	toilet Biolet Standard 15 elec. thermostat &amp; fan, manual mixing 	control vent pipe and accessories incl. $500 	244-0558 	eve. &amp; weekends    <HR SIZE=1 NOSHADE>"
206354	100		"   	 	<B>NEWSPRINT END ROLLS - $.60 a pound.</B> Great for packing, puppy 	training, finger painting, classroom projects, gift wrapping. Come 	to The Ellsworth American's front 	office on 30 Water Street in Ellsworth  or call 667-2576 for 	details.    <HR SIZE=1 NOSHADE>"
217142	100		"   	<B>SAWMILLS</B> 	from only $4397. MAKE &amp; SAVE MONEY with your own bandmill-Cut 	lumber any dimension. In stock ready to ship. FREE Info/DVD:  	 	   	NorwoodSawmills.com: 	1-800-578-1363 	Ext.300N  	    <HR SIZE=1 NOSHADE>"
215637	100		<HR SIZE=1 NOSHADE>
85628	105		"   	 	<B>BARGAIN 	BASKET</B> 	 	<B>ADS 	ARE <I>FREE</I></B> 	Private 	party sale of          merchandise valued at $100 or less may be 	advertised two weeks at no cost. Enter your 20 word ad online at: 	<B><U>ellsworthamerican.com</U></B>    <HR SIZE=1 NOSHADE>"
216794	105		"   	<B>Nordic</B> Track  	Cross Country Ski trainer Excellent condition 100 326 8896    <HR SIZE=1 NOSHADE>"
216986	105		"   	<B>One</B> Med sized 	dog kennel and one Igloo style dog house. $40. for both. 949-0495    <HR SIZE=1 NOSHADE>"
216938	105		"   	<B>Star</B> Trek 'Next 	Generation' television series on DVD. Seasons 4-7, 102 episodes 	+special features. Excellent condition, original cases. $ 40 	801-9419    <HR SIZE=1 NOSHADE>"
217201	110		"   	<B>Ellsworth</B> 	&ndash; New, never used, Honeywell 5500E electric start generator,10 	breaker transfer kit w/battery charger. Run time 9 hrs. $900  	667-0305.    <HR SIZE=1 NOSHADE>"
216758	120		"   	<B>Moosehead</B> 	table 5'x45&rdquo; w 3 leaves 12&rdquo; each, matching 8 Moosehead 	chairs. $600. 667-1168.    <HR SIZE=1 NOSHADE>"
216945	155		"   	<B>PRIVATE</B> 	<B>RESCUE</B> - Black lab, 6 yr old male, sweet, all vetted,  	Serious inquiries only. 422-6481    <HR SIZE=1 NOSHADE>"
217232	160		"   	 	  <B><U>Need firewood 	call John Reed</U></B> 	 	               479-2264    <HR SIZE=1 NOSHADE>"
217309	175		"   	<B>BAR HARBOR</B> 	16 Livingston Rd. Sat. May 27. 9a-2p. Years of accumulation, 	bureaus, couch, chairs, lamps, linens, bedding, rugs, knick knacks, 	art    <HR SIZE=1 NOSHADE>"
217264	175		"   	<B>BAR 	HARBOR</B> Graycote Inn, 40 	Holland Ave. May 27 and 28 - 10:00 am - 2:00 pm. Furniture, 	Wicker, Washer / Dryer, Wall Art, Linens, Misc. Treasures    <HR SIZE=1 NOSHADE>"
